Power,H,T,P,t1,T1,p1,P1,t2,T2,p2,P2,T3,P3,t4,T4,p4,P4,m4,m_gas,CLCSO,pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
242.8,93.36569977,-0.951477885,1019.463135,-1.2,271.95,-1.84,0.09946,401.5,674.65,1.58,1.6813,1572.629675,1.664487,209.8,482.95,2.36,0.10366,1372513,66918,85.63995361,16.90428313,0.839512525,1.313504472,0.392250944,9177.798188
243.1,94.11225891,-0.983596027,1019.480103,-1.3,271.85,-1.85,0.09945,401.5,674.65,1.59,1.6913,1573.091261,1.674387,209.6,482.75,2.38,0.10368,1395156,67059,85.70589447,17.00653595,0.841606263,1.312096792,0.391909827,9185.786508
243.5,93.54902649,-1.030265212,1019.498901,-1.2,271.95,-1.85,0.09945,401.4,674.55,1.59,1.6913,1573.371481,1.674387,209.3,482.45,2.37,0.10367,1369807,67119,85.7459259,17.00653595,0.842334087,1.312530674,0.392203762,9178.902259
242.7,94.23990631,-1.03509593,1019.481812,-1.2,271.95,-1.85,0.09945,401.5,674.65,1.59,1.6913,1573.627295,1.674387,209,482.15,2.36,0.10366,1372576,67589,85.7824707,17.00653595,0.842124915,1.312955372,0.388196864,9273.645241
243.4,94.48374939,-1.052253246,1019.479553,-1.2,271.95,-1.85,0.09945,401.4,674.55,1.59,1.6913,1573.453459,1.674387,208.7,481.85,2.37,0.10367,1352429,67151,85.75763702,17.00653595,0.842334087,1.313282762,0.39185587,9187.051356
243.6,94.6690979,-1.07151556,1019.441101,-1.2,271.95,-1.84,0.09946,401.5,674.65,1.59,1.6913,1573.28961,1.674387,208.5,481.65,2.38,0.10368,1359087,67147,85.73423004,17.00482606,0.842081323,1.313493585,0.392201217,9178.961823
244.1,95.01338959,-1.059010386,1019.356384,-1.3,271.85,-1.84,0.09946,401.4,674.55,1.59,1.6913,1573.678351,1.674387,208.2,481.35,2.37,0.10367,1415117,67291,85.7897644,17.00482606,0.841771677,1.313967058,0.392165211,9179.804588
243.5,96.10025024,-1.037750125,1019.354126,-1.2,271.95,-1.84,0.09946,401.4,674.55,1.58,1.6813,1573.233641,1.664487,207.9,481.05,2.37,0.10367,1330275,66975,85.72623444,16.90428313,0.839721047,1.316048058,0.393047022,9159.209446
244,95.51759338,-1.0541538,1019.294434,-1.3,271.85,-1.84,0.09946,401.3,674.45,1.59,1.6913,1574.006529,1.674387,207.7,480.85,2.36,0.10366,1355228,67654,85.83664703,17.00482606,0.841980761,1.314658525,0.389901238,9233.107377
243.6,95.53166199,-1.044354916,1019.261719,-1.3,271.85,-1.84,0.09946,401.1,674.25,1.58,1.6813,1573.360533,1.664487,207.4,480.55,2.37,0.10367,1327297,66846,85.74436188,16.90428313,0.839829473,1.316697243,0.393967255,9137.815271
243.4,95.49141693,-1.052846909,1019.300842,-1.3,271.85,-1.84,0.09946,401.1,674.25,1.59,1.6913,1573.563101,1.674387,207.2,480.35,2.37,0.10367,1311331,67221,85.77330017,17.00482606,0.842399241,1.315127643,0.391447814,9196.628184
244.2,96.30564117,-1.063588262,1019.35376,-1.2,271.95,-1.84,0.09946,401,674.15,1.59,1.6913,1573.845885,1.674387,207,480.15,2.37,0.10367,1352605,67333,85.81369781,17.00482606,0.843128167,1.315472026,0.392081149,9181.772727
243.8,96.76329041,-1.063022614,1019.307068,-1.2,271.95,-1.84,0.09946,401,674.15,1.58,1.6813,1573.393431,1.664487,206.7,479.85,2.36,0.10366,1383010,67150,85.74906158,16.90428313,0.840556175,1.317521999,0.392505685,9171.841674
