Power,H,T,P,t1,T1,p1,P1,t2,T2,p2,P2,T3,P3,t4,T4,p4,P4,m4,m_gas,CLCSO,pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
145.2215,32.20152283,22.23962212,100.9043213,21.9,295.05,-0.07,0.10123,394.3,667.45,1.11,1.2113,1539.707854,1.199187,27.7797,300.9297,0.23,0.10153,1089449,47195,80.93683624,11.96582041,0.817868542,1.653206385,0.332654341,10822.04426
145.7525,32.08514786,22.26550102,100.9063293,21.9,295.05,-0.07,0.10123,394.4,667.55,1.11,1.2113,1539.885321,1.199187,27.7859,300.9359,0.22,0.10152,1072013,47180,80.96218872,11.96582041,0.81764898,1.653198008,0.333976834,10779.19075
146.1221,32.20703888,22.24234772,100.9048828,21.9,295.05,-0.07,0.10123,394.2,667.35,1.11,1.2113,1540.888655,1.199187,27.8044,300.9544,0.22,0.10152,1141858,47356,81.10552216,11.96582041,0.818088222,1.653434808,0.333579352,10792.03488
145.2447,32.4916687,22.22003937,100.9097778,21.9,295.05,-0.07,0.10123,394.2,667.35,1.11,1.2113,1539.672766,1.199187,27.7861,300.9361,0.22,0.10152,1070691,47164,80.93182373,11.96582041,0.818088222,1.653142306,0.332926167,10813.20833
145.2026,32.10050964,22.19846725,100.909845,21.9,295.05,-0.07,0.10123,394.2,667.35,1.11,1.2113,1539.879233,1.199187,27.766,300.916,0.21,0.10151,1064025,47172,80.96131897,11.96582041,0.818088222,1.653176585,0.332773221,10818.17819
144.8218,31.91614914,22.24768829,100.9133179,21.9,295.05,-0.07,0.10123,394.2,667.35,1.11,1.2113,1539.516394,1.199187,27.8156,300.9656,0.21,0.10151,1102603,47122,80.90948486,11.96582041,0.818088222,1.653015756,0.332252681,10835.12703
145.9376,32.58089828,22.21686554,100.9130737,21.9,295.05,-0.07,0.10123,394.3,667.45,1.11,1.2113,1540.799681,1.199187,27.831,300.981,0.22,0.10152,1109760,47277,81.09281158,11.96582041,0.817868542,1.65337616,0.333714868,10787.65239
145.999,32.48942566,22.20315933,100.9134827,22,295.15,-0.07,0.10123,394.3,667.45,1.11,1.2113,1541.646803,1.199187,27.8337,300.9837,0.21,0.10151,1104653,47508,81.21382904,11.96582041,0.818365493,1.653546716,0.332231954,10835.80298
145.0387,32.6921463,22.16196251,100.9110474,22,295.15,-0.07,0.10123,394.4,667.55,1.11,1.2113,1539.962546,1.199187,27.8094,300.9594,0.22,0.10152,1120669,47258,80.97322083,11.96582041,0.818145739,1.653186789,0.331792701,10850.14827
145.1605,32.68628311,22.15457344,100.9144775,21.9,295.05,-0.07,0.10123,394.4,667.55,1.11,1.2113,1539.361945,1.199187,27.7936,300.9436,0.22,0.10152,1042931,47263,80.88742065,11.96582041,0.81764898,1.653051203,0.332036202,10842.19123
