Power,H,T,P,t1,T1,p1,P1,t2,T2,p2,P2,T3,P3,t4,T4,p4,P4,m4,m_gas,CLCSO,pai,c_efficiency,t_efficiency,h_efficiency,h_consumption
183,40.20663452,-0.605820537,1024.643677,1.4,274.55,-1.26,0.10004,384.5,657.65,1.3,1.4013,1540.296492,1.387287,561.6,834.75,1.11,0.10241,1107842,55520,81.02092743,14.00739704,0.806837735,0.906474053,0.356336163,10102.81967
182.8,39.34536362,-0.589232445,1024.635864,1.4,274.55,-1.27,0.10003,384.6,657.75,1.31,1.4113,1540.755835,1.397187,561.3,834.45,1.08,0.10238,1116650,55478,81.08654785,14.10876737,0.809768362,0.905408553,0.356216197,10106.2221
182.9,39.32610703,-0.580838382,1024.628296,1.4,274.55,-1.27,0.10003,384.4,657.55,1.31,1.4113,1540.718398,1.397187,561.3,834.45,1.06,0.10236,1135221,55475,81.08119965,14.10876737,0.810191217,0.905335983,0.356430338,10100.15036
182.6,39.00349808,-0.487030149,1024.636963,1.4,274.55,-1.27,0.10003,384.5,657.65,1.3,1.4013,1540.091895,1.387287,561,834.15,1.08,0.10238,1102413,55354,80.99169922,14.00879736,0.806881249,0.907032293,0.35662356,10094.67798
183.1,39.06721497,-0.45360595,1024.655762,1.3,274.45,-1.27,0.10003,384.3,657.45,1.31,1.4113,1540.581786,1.397187,560.7,833.85,1.06,0.10236,1073651,55393,81.06168365,14.10876737,0.80989612,0.906010315,0.357348304,10074.20481
182.8,38.98398209,-0.46799466,1024.6427,1.4,274.55,-1.26,0.10004,384.4,657.55,1.3,1.4013,1540.434492,1.387287,561,834.15,1.05,0.10235,1093644,55371,81.04064178,14.00739704,0.807048398,0.907200377,0.356904556,10086.73031
183.5,39.61306763,-0.528843939,1024.651001,1.3,274.45,-1.27,0.10003,384.2,657.35,1.31,1.4113,1540.667609,1.397187,561.1,834.25,1.05,0.10235,1083312,55484,81.07394409,14.10876737,0.810107636,0.905533807,0.357541595,10068.75858
183.2,40.46115875,-0.625005662,1024.681274,1.2,274.35,-1.26,0.10004,384.2,657.35,1.31,1.4113,1541.090903,1.397187,560.8,833.95,1.06,0.10236,1104935,55597,81.13441467,14.10735706,0.80955744,0.906235307,0.356231549,10105.78657
183.5,40.94763565,-0.687633097,1024.671387,1.2,274.35,-1.27,0.10003,384.1,657.25,1.31,1.4113,1540.624457,1.397187,561.2,834.35,1.07,0.10237,1119124,55495,81.06777954,14.10876737,0.809812461,0.905422245,0.357470724,10070.75477
184.1,40.92588043,-0.788705349,1024.690063,1.2,274.35,-1.27,0.10003,384.1,657.25,1.31,1.4113,1541.321669,1.397187,561.1,834.25,1.08,0.10238,1142068,55619,81.16738129,14.10876737,0.809812461,0.906057525,0.357839995,10060.3623
184.1,41.69523239,-0.814931452,1024.703491,1.1,274.25,-1.26,0.10004,383.9,657.05,1.31,1.4113,1541.263136,1.397187,561.5,834.65,1.08,0.10238,1120733,55648,81.15901947,14.10735706,0.80968517,0.905504338,0.357653513,10065.60782
184.1,41.93603516,-0.815991402,1024.696533,1.1,274.25,-1.26,0.10004,384,657.15,1.31,1.4113,1540.993918,1.397187,561.9,835.05,1.09,0.10239,1144585,55640,81.12055969,14.10735706,0.809473709,0.904828073,0.357704937,10064.16078
184.1,41.47042465,-0.765210748,1024.709106,0.9,274.05,-1.27,0.10003,384,657.15,1.31,1.4113,1540.770201,1.397187,561.9,835.05,1.06,0.10236,1115016,55662,81.08860016,14.10876737,0.80850463,0.904602858,0.357563557,10068.14014
183.6,41.33401489,-0.773988783,1024.651001,0.6,273.75,-1.26,0.10004,383.8,656.95,1.31,1.4113,1541.01544,1.397187,561.6,834.75,1.06,0.10236,1070466,55628,81.12363434,14.10735706,0.807365347,0.905157683,0.356810395,10089.39216
182.6,40.8032074,-0.721132576,1024.698853,0.4,273.55,-1.27,0.10003,383.6,656.75,1.31,1.4113,1539.29695,1.397187,561.4,834.55,1.07,0.10237,1159225,55339,80.87813568,14.10876737,0.806818923,0.904243185,0.356720225,10091.9425
184,40.66435623,-0.692820489,1024.653931,0.4,273.55,-1.26,0.10004,383.2,656.35,1.31,1.4113,1539.858725,1.397187,560.2,833.35,1.09,0.10239,1099279,55425,80.95838928,14.10735706,0.807618517,0.906219581,0.358897463,10030.72011
183.7,40.41442108,-0.66794914,1024.634521,0.3,273.45,-1.27,0.10003,383,656.15,1.31,1.4113,1540.286986,1.397187,560.3,833.45,1.12,0.10242,1139069,55511,81.0195694,14.10876737,0.807577708,0.906458488,0.357757192,10062.6908
183.7,39.83744812,-0.652343571,1024.599731,0.4,273.55,-1.27,0.10003,383,656.15,1.31,1.4113,1540.315451,1.397187,560.4,833.55,1.1,0.1024,1146330,55550,81.02363586,14.10876737,0.808084191,0.906303382,0.357506021,10069.76048
183.2,38.80535126,-0.58458662,1024.636963,0.6,273.75,-1.27,0.10003,383.1,656.25,1.31,1.4113,1540.254782,1.397187,560.5,833.65,1.11,0.10241,1097610,55519,81.01496887,14.10876737,0.808886422,0.906156347,0.356732027,10091.60862
183.1,38.78806686,-0.556136489,1024.666626,0.6,273.75,-1.27,0.10003,383.4,656.55,1.31,1.4113,1540.502531,1.397187,560.7,833.85,1.1,0.1024,1112551,55509,81.05036163,14.10876737,0.808252498,0.906048537,0.356601535,10095.30147
183.8,38.88310242,-0.506895423,1024.656738,0.6,273.75,-1.27,0.10003,383.3,656.45,1.31,1.4113,1540.452864,1.397187,560.8,833.95,1.08,0.10238,1092746,55587,81.0432663,14.10876737,0.808463696,0.905839245,0.357462541,10070.98531
183.7,38.79920197,-0.49521488,1024.653809,0.9,274.05,-1.27,0.10003,383.4,656.55,1.31,1.4113,1540.366293,1.397187,560.9,834.05,1.07,0.10237,1151023,55537,81.03089905,14.10876737,0.809772873,0.905627635,0.357589705,10067.40392
182.6,38.70555115,-0.445530385,1024.594971,0.9,274.05,-1.27,0.10003,383.6,656.75,1.31,1.4113,1540.506163,1.397187,561,834.15,1.1,0.1024,1060062,55573,81.05088043,14.10876737,0.809349683,0.905666407,0.355218191,10134.6161
183.2,38.99781418,-0.465027571,1024.656372,0.8,273.95,-1.26,0.10004,383.6,656.75,1.31,1.4113,1540.299643,1.397187,560.9,834.05,1.07,0.10237,1126738,55465,81.02137756,14.10735706,0.808799461,0.90558136,0.357079337,10081.79312
183.6,39.06137085,-0.487640351,1024.70874,0.8,273.95,-1.27,0.10003,383.7,656.85,1.31,1.4113,1540.623389,1.397187,561.1,834.25,1.12,0.10242,1092778,55520,81.06762695,14.10876737,0.808631761,0.905666164,0.357504479,10069.80392
182.8,38.83555984,-0.507389963,1024.718018,0.8,273.95,-1.26,0.10004,383.7,656.85,1.31,1.4113,1540.365012,1.397187,560.9,834.05,1.09,0.10239,1037777,55470,81.03071594,14.10735706,0.808588231,0.905673336,0.356267571,10104.76477
183.2,38.99307251,-0.515976846,1024.714844,0.7,273.85,-1.27,0.10003,383.5,656.65,1.31,1.4113,1540.57495,1.397187,560.8,833.95,1.08,0.10238,1097263,55509,81.06070709,14.10876737,0.80854775,0.905923979,0.356796293,10089.79094
182.8,39.23641205,-0.508229554,1024.680176,0.7,273.85,-1.26,0.10004,383.6,656.75,1.31,1.4113,1540.494627,1.397187,561.2,834.35,1.08,0.10238,1109821,55600,81.04923248,14.10735706,0.808293072,0.905355389,0.355434571,10128.44639
183.3,40.38067245,-0.499131173,1024.719849,0.8,273.95,-1.27,0.10003,383.5,656.65,1.31,1.4113,1540.415427,1.397187,561.2,834.35,1.08,0.10238,1063533,55389,81.03791809,14.10876737,0.809054354,0.905300388,0.35776447,10062.48609
183.9,42.19758987,-0.531536162,1024.699463,0.6,273.75,-1.27,0.10003,383.4,656.55,1.31,1.4113,1540.436629,1.397187,561,834.15,1.08,0.10238,1116299,55546,81.04094696,14.10876737,0.808252498,0.905571544,0.357921022,10058.08483
183.3,42.74323273,-0.553224564,1024.738037,0.6,273.75,-1.27,0.10003,383.4,656.55,1.31,1.4113,1540.163565,1.397187,560.7,833.85,1.1,0.1024,1115765,55491,81.00193787,14.10876737,0.808252498,0.905813236,0.35710685,10081.01637
184,42.47802353,-0.588024318,1024.736206,0.5,273.65,-1.26,0.10004,383.2,656.35,1.31,1.4113,1540.330138,1.397187,560.5,833.65,1.13,0.10243,1107866,55516,81.02573395,14.10735706,0.808124862,0.90625526,0.35830917,10047.18913
183,41.09947968,-0.592110813,1024.769043,0.4,273.55,-1.27,0.10003,383.1,656.25,1.31,1.4113,1540.30007,1.397187,560.5,833.65,1.13,0.10243,1084603,55470,81.0214386,14.10876737,0.807873037,0.906234391,0.35665736,10093.72131
182.8,39.22237778,-0.574068069,1024.744873,0.4,273.55,-1.26,0.10004,383,656.15,1.31,1.4113,1540.224181,1.397187,560.5,833.65,1.1,0.1024,1161535,55447,81.01059723,14.10735706,0.808040691,0.906111802,0.356415355,10100.57495
183.5,38.28797531,-0.555949807,1024.734375,0.4,273.55,-1.27,0.10003,382.8,655.95,1.31,1.4113,1539.46646,1.397187,560.6,833.75,1.1,0.1024,1135775,55347,80.90235138,14.10876737,0.808506829,0.905457303,0.358426615,10043.897
182.7,38.61660385,-0.522201538,1024.749146,0.4,273.55,-1.27,0.10003,382.7,655.85,1.31,1.4113,1540.220602,1.397187,560.3,833.45,1.1,0.1024,1117480,55443,81.01008606,14.10876737,0.808718314,0.906365799,0.356246079,10105.37438
183.5,38.96869278,-0.548690259,1024.710083,0.5,273.65,-1.27,0.10003,382.9,656.05,1.31,1.4113,1539.981612,1.397187,560.5,833.65,1.11,0.10241,1148147,55413,80.97594452,14.10876737,0.80880239,0.905966708,0.357999708,10055.87411
182.9,39.55335617,-0.535364449,1024.733887,0.4,273.55,-1.27,0.10003,382.9,656.05,1.31,1.4113,1540.406561,1.397187,560.6,833.75,1.11,0.10241,1151144,55572,81.03665161,14.10876737,0.808295455,0.906133457,0.355808194,10117.81083
