Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
183,40.20663452,-0.605820537,1024.643677,1.4,-1.26,384.5,1.3,561.6,1.11,1107842,55520,81.02092743
182.8,39.34536362,-0.589232445,1024.635864,1.4,-1.27,384.6,1.31,561.3,1.08,1116650,55478,81.08654785
182.9,39.32610703,-0.580838382,1024.628296,1.4,-1.27,384.4,1.31,561.3,1.06,1135221,55475,81.08119965
182.6,39.00349808,-0.487030149,1024.636963,1.4,-1.27,384.5,1.3,561,1.08,1102413,55354,80.99169922
183.1,39.06721497,-0.45360595,1024.655762,1.3,-1.27,384.3,1.31,560.7,1.06,1073651,55393,81.06168365
182.8,38.98398209,-0.46799466,1024.6427,1.4,-1.26,384.4,1.3,561,1.05,1093644,55371,81.04064178
183.5,39.61306763,-0.528843939,1024.651001,1.3,-1.27,384.2,1.31,561.1,1.05,1083312,55484,81.07394409
183.2,40.46115875,-0.625005662,1024.681274,1.2,-1.26,384.2,1.31,560.8,1.06,1104935,55597,81.13441467
183.5,40.94763565,-0.687633097,1024.671387,1.2,-1.27,384.1,1.31,561.2,1.07,1119124,55495,81.06777954
184.1,40.92588043,-0.788705349,1024.690063,1.2,-1.27,384.1,1.31,561.1,1.08,1142068,55619,81.16738129
184.1,41.69523239,-0.814931452,1024.703491,1.1,-1.26,383.9,1.31,561.5,1.08,1120733,55648,81.15901947
184.1,41.93603516,-0.815991402,1024.696533,1.1,-1.26,384,1.31,561.9,1.09,1144585,55640,81.12055969
184.1,41.47042465,-0.765210748,1024.709106,0.9,-1.27,384,1.31,561.9,1.06,1115016,55662,81.08860016
183.6,41.33401489,-0.773988783,1024.651001,0.6,-1.26,383.8,1.31,561.6,1.06,1070466,55628,81.12363434
182.6,40.8032074,-0.721132576,1024.698853,0.4,-1.27,383.6,1.31,561.4,1.07,1159225,55339,80.87813568
184,40.66435623,-0.692820489,1024.653931,0.4,-1.26,383.2,1.31,560.2,1.09,1099279,55425,80.95838928
183.7,40.41442108,-0.66794914,1024.634521,0.3,-1.27,383,1.31,560.3,1.12,1139069,55511,81.0195694
183.7,39.83744812,-0.652343571,1024.599731,0.4,-1.27,383,1.31,560.4,1.1,1146330,55550,81.02363586
183.2,38.80535126,-0.58458662,1024.636963,0.6,-1.27,383.1,1.31,560.5,1.11,1097610,55519,81.01496887
183.1,38.78806686,-0.556136489,1024.666626,0.6,-1.27,383.4,1.31,560.7,1.1,1112551,55509,81.05036163
183.8,38.88310242,-0.506895423,1024.656738,0.6,-1.27,383.3,1.31,560.8,1.08,1092746,55587,81.0432663
183.7,38.79920197,-0.49521488,1024.653809,0.9,-1.27,383.4,1.31,560.9,1.07,1151023,55537,81.03089905
182.6,38.70555115,-0.445530385,1024.594971,0.9,-1.27,383.6,1.31,561,1.1,1060062,55573,81.05088043
183.2,38.99781418,-0.465027571,1024.656372,0.8,-1.26,383.6,1.31,560.9,1.07,1126738,55465,81.02137756
183.6,39.06137085,-0.487640351,1024.70874,0.8,-1.27,383.7,1.31,561.1,1.12,1092778,55520,81.06762695
182.8,38.83555984,-0.507389963,1024.718018,0.8,-1.26,383.7,1.31,560.9,1.09,1037777,55470,81.03071594
183.2,38.99307251,-0.515976846,1024.714844,0.7,-1.27,383.5,1.31,560.8,1.08,1097263,55509,81.06070709
182.8,39.23641205,-0.508229554,1024.680176,0.7,-1.26,383.6,1.31,561.2,1.08,1109821,55600,81.04923248
183.3,40.38067245,-0.499131173,1024.719849,0.8,-1.27,383.5,1.31,561.2,1.08,1063533,55389,81.03791809
183.9,42.19758987,-0.531536162,1024.699463,0.6,-1.27,383.4,1.31,561,1.08,1116299,55546,81.04094696
183.3,42.74323273,-0.553224564,1024.738037,0.6,-1.27,383.4,1.31,560.7,1.1,1115765,55491,81.00193787
184,42.47802353,-0.588024318,1024.736206,0.5,-1.26,383.2,1.31,560.5,1.13,1107866,55516,81.02573395
183,41.09947968,-0.592110813,1024.769043,0.4,-1.27,383.1,1.31,560.5,1.13,1084603,55470,81.0214386
182.8,39.22237778,-0.574068069,1024.744873,0.4,-1.26,383,1.31,560.5,1.1,1161535,55447,81.01059723
183.5,38.28797531,-0.555949807,1024.734375,0.4,-1.27,382.8,1.31,560.6,1.1,1135775,55347,80.90235138
182.7,38.61660385,-0.522201538,1024.749146,0.4,-1.27,382.7,1.31,560.3,1.1,1117480,55443,81.01008606
183.5,38.96869278,-0.548690259,1024.710083,0.5,-1.27,382.9,1.31,560.5,1.11,1148147,55413,80.97594452
182.9,39.55335617,-0.535364449,1024.733887,0.4,-1.27,382.9,1.31,560.6,1.11,1151144,55572,81.03665161
184,39.91419983,-0.538600385,1024.722778,0.4,-1.26,383.1,1.31,560.7,1.09,1109405,55523,81.00144196
182.6,40.89505386,-0.548314512,1024.738159,0.5,-1.26,382.9,1.31,560.7,1.07,1117624,55716,81.16768646
183.7,41.50516891,-0.57305795,1024.669922,0.5,-1.27,382.9,1.31,560.6,1.09,1070209,55486,80.90693665
183,41.6792717,-0.629272401,1024.7677,0.6,-1.26,382.8,1.31,560.5,1.12,1143806,55523,81.0526123
183.1,42.42855453,-0.698553801,1024.719849,0.3,-1.26,382.9,1.31,560.4,1.12,1114253,55367,80.92074585
183.7,42.45524979,-0.712538064,1024.646118,0.3,-1.26,382.6,1.31,560.1,1.11,1123347,55498,81.03961945
183.5,42.21524048,-0.719512641,1024.689941,0.3,-1.27,382.6,1.31,560.5,1.1,1136726,55656,81.03539276
184,43.15509415,-0.787440479,1024.626587,0.4,-1.26,382.6,1.31,560.5,1.11,1124234,55465,81.01018524
183.1,44.04085159,-0.810213625,1024.629517,0.3,-1.27,382.6,1.31,560.5,1.12,1129918,55539,80.99893188
183.3,44.45146561,-0.842931867,1024.616577,0.4,-1.26,382.7,1.31,560.4,1.1,1105449,55560,81.02507782
183.8,44.83681488,-0.915359974,1024.611084,0.5,-1.26,382.9,1.31,560.4,1.11,1115387,55511,81.02806854
183.2,44.37591553,-0.943973482,1024.629395,0.3,-1.26,382.8,1.31,560.6,1.12,1101189,55585,81.05174255
183.2,44.21938705,-0.952123106,1024.682617,0.3,-1.26,382.7,1.31,560.5,1.1,1094944,55533,80.98838043
183.7,44.26123047,-0.97123462,1024.606445,0.3,-1.26,382.8,1.31,560.4,1.11,1122547,55543,81.0031662
183.6,43.94215775,-0.982159257,1024.591797,0.3,-1.26,382.6,1.31,560.1,1.13,1146017,55613,81.03101349
183.4,42.61359406,-0.989061534,1024.658691,0.2,-1.26,382.7,1.31,560.2,1.12,1141011,55580,81.03115082
183.4,42.07107925,-0.967381299,1024.658325,0.2,-1.26,382.6,1.31,560.2,1.12,1076674,55637,81.03633118
183,42.00570297,-0.955702841,1024.662354,0.1,-1.27,382.6,1.31,560.4,1.11,1148477,55507,81.0171051
183,41.91384888,-0.947885156,1024.655273,0.1,-1.26,382.6,1.31,559.9,1.11,1117888,55412,80.90438843
183.2,41.19281006,-0.934531212,1024.656738,0,-1.27,382.3,1.31,559.5,1.13,1160796,55473,80.96839905
183.4,41.66991806,-0.91984117,1024.591919,-0.2,-1.26,382.3,1.31,560,1.12,1149166,55576,81.03746796
183.8,42.09736633,-0.899478674,1024.612061,0.1,-1.26,382.4,1.31,560.2,1.12,1099256,55635,81.02114105
183.6,42.23488617,-0.897564352,1024.63147,0.2,-1.27,382.6,1.31,560.3,1.1,1087247,55568,81.0376358
183.3,42.00611496,-0.881952763,1024.672729,0.1,-1.27,382.6,1.31,560.3,1.12,1130393,55548,81.01618195
