Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
144.809,32.8343811,21.52342796,100.8635864,21.6,-0.07,393.8,1.11,27.9043,0.25,1099560,47149,80.8626709
144.954,33.76672745,21.49613571,100.8622253,21.6,-0.07,393.9,1.11,27.8657,0.23,1057774,47225,80.87052917
145.438,33.67400742,21.43200493,100.8614502,21.6,-0.07,393.9,1.11,27.8462,0.26,1091101,47571,81.06491852
145.3884,33.31838608,21.40463829,100.8609497,21.6,-0.07,393.9,1.11,27.8261,0.25,1063250,47069,80.82085419
144.3834,32.1726265,21.46317291,100.8659485,21.6,-0.07,393.9,1.11,27.8351,0.25,1098117,47112,80.77262878
144.8254,31.76176262,21.50207138,100.8643127,21.5,-0.07,393.8,1.11,27.8637,0.25,1103432,47094,80.74237061
145.1273,31.58439827,21.52840996,100.8586914,21.5,-0.07,393.8,1.11,27.9149,0.25,1038984,47170,80.83859253
145.1615,31.92533493,21.53933334,100.854126,21.5,-0.07,393.7,1.11,27.869,0.26,1070339,47183,80.90803528
145.4547,31.42120552,21.55120468,100.8599487,21.5,-0.07,393.7,1.11,27.8514,0.26,1068542,47147,80.87892914
144.476,31.34534073,21.5802269,100.8541565,21.5,-0.07,393.6,1.11,27.8291,0.25,1123625,47204,80.84386444
144.6366,31.65032578,21.58016586,100.8538574,21.5,-0.07,393.6,1.11,27.8598,0.25,1083202,46978,80.74380493
144.294,31.32102013,21.61795044,100.8606934,21.6,-0.07,393.8,1.11,27.8922,0.24,1098660,47097,80.80664825
144.948,32.00731659,21.58268166,100.8594666,21.6,-0.07,393.9,1.11,27.8659,0.25,1107090,47107,80.80939484
144.8927,31.4937439,21.56625557,100.8619812,21.6,-0.07,393.9,1.11,27.8735,0.25,1104957,47179,80.83892059
145.0976,31.19238853,21.54379082,100.8589905,21.6,-0.07,393.8,1.11,27.8451,0.25,1080895,47191,80.85948944
144.7777,31.26938248,21.57297134,100.8583618,21.6,-0.07,393.8,1.11,27.855,0.24,1088514,47483,80.81044006
144.3963,31.08641434,21.57427597,100.8609741,21.6,-0.07,393.6,1.11,27.8707,0.24,1083160,47056,80.73603821
144.7074,31.54281998,21.59281921,100.8610046,21.6,-0.07,393.7,1.11,27.8364,0.24,1114519,47124,80.77257538
144.8999,31.72378159,21.58243752,100.8600769,21.5,-0.07,393.6,1.11,27.8107,0.23,1049567,47157,80.82175446
145.0194,31.80290604,21.59709358,100.8583557,21.5,-0.07,393.6,1.11,27.7994,0.23,1095411,47200,80.83103943
144.9445,31.09206963,21.59899902,100.8588257,21.6,-0.07,393.6,1.11,27.8468,0.22,1061122,47272,80.88187408
