Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
242.8,93.36569977,-0.951477885,1019.463135,-1.2,-1.84,401.5,1.58,209.8,2.36,1372513,66918,85.63995361
243.1,94.11225891,-0.983596027,1019.480103,-1.3,-1.85,401.5,1.59,209.6,2.38,1395156,67059,85.70589447
243.5,93.54902649,-1.030265212,1019.498901,-1.2,-1.85,401.4,1.59,209.3,2.37,1369807,67119,85.7459259
242.7,94.23990631,-1.03509593,1019.481812,-1.2,-1.85,401.5,1.59,209,2.36,1372576,67589,85.7824707
243.4,94.48374939,-1.052253246,1019.479553,-1.2,-1.85,401.4,1.59,208.7,2.37,1352429,67151,85.75763702
243.6,94.6690979,-1.07151556,1019.441101,-1.2,-1.84,401.5,1.59,208.5,2.38,1359087,67147,85.73423004
244.1,95.01338959,-1.059010386,1019.356384,-1.3,-1.84,401.4,1.59,208.2,2.37,1415117,67291,85.7897644
243.5,96.10025024,-1.037750125,1019.354126,-1.2,-1.84,401.4,1.58,207.9,2.37,1330275,66975,85.72623444
244,95.51759338,-1.0541538,1019.294434,-1.3,-1.84,401.3,1.59,207.7,2.36,1355228,67654,85.83664703
243.6,95.53166199,-1.044354916,1019.261719,-1.3,-1.84,401.1,1.58,207.4,2.37,1327297,66846,85.74436188
243.4,95.49141693,-1.052846909,1019.300842,-1.3,-1.84,401.1,1.59,207.2,2.37,1311331,67221,85.77330017
244.2,96.30564117,-1.063588262,1019.35376,-1.2,-1.84,401,1.59,207,2.37,1352605,67333,85.81369781
243.8,96.76329041,-1.063022614,1019.307068,-1.2,-1.84,401,1.58,206.7,2.36,1383010,67150,85.74906158
244,95.57611847,-1.07607758,1019.342407,-1.1,-1.84,401,1.58,206.5,2.37,1398203,67030,85.71683502
243.4,95.14428711,-1.098093987,1019.354919,-1.1,-1.85,400.9,1.58,206.2,2.37,1355311,67100,85.74559784
243.5,96.43326569,-1.074898839,1019.378174,-1.1,-1.85,401,1.58,205.9,2.37,1342699,67376,85.67098236
244.6,96.15053558,-1.096829653,1019.368042,-1.1,-1.85,401,1.59,205.7,2.37,1377444,67181,85.82855225
244.9,95.47116852,-1.131775379,1019.332642,-1,-1.85,400.9,1.59,205.5,2.36,1384351,67677,85.78601837
244.2,95.88542175,-1.152714491,1019.386536,-1.1,-1.84,401,1.59,205.3,2.37,1432926,66753,85.7354126
244.4,96.15662384,-1.156621456,1019.364197,-1.1,-1.85,400.9,1.59,205.1,2.37,1382160,67351,85.83084106
244,96.97827148,-1.168844581,1019.331177,-1.1,-1.85,401.1,1.59,204.9,2.36,1360761,66936,85.69986725
244.4,95.4734726,-1.178075552,1019.356384,-1.2,-1.84,401.1,1.59,204.6,2.37,1386694,67198,85.80817413
242.9,95.27580261,-1.186125755,1019.384583,-1.2,-1.85,401.2,1.58,204.4,2.38,1379483,67062,85.70602417
244.1,96.48025513,-1.186647415,1019.353699,-1.2,-1.85,401.2,1.59,204.1,2.37,1354920,67168,85.77916718
244.1,96.2304306,-1.230470538,1019.340576,-1.2,-1.85,401.1,1.59,204,2.36,1404416,67377,85.83307648
244.1,96.3217392,-1.209419966,1019.327881,-1.2,-1.84,401.1,1.59,203.8,2.37,1354381,67201,85.74284363
243.6,96.31894684,-1.205074906,1019.344055,-1.1,-1.84,401,1.59,203.6,2.36,1406458,67234,85.77119446
244.2,95.2748642,-1.227523804,1019.265869,-1.1,-1.85,401.2,1.59,203.4,2.37,1384283,67190,85.76483917
244.3,95.30510712,-1.224511147,1019.241821,-1.2,-1.85,401.1,1.59,203.3,2.37,1381218,67182,85.77585602
